# Format: x, y, z, yaw (degrees), wait_time (seconds)
x, y, z, yaw, wait_time
# Pose 0:
0.2471, 2.1078, 0.0000, -91.82, 2.0
# Pose 1:
0.0065, 0.2824, 0.0000, -1.68, 2.0
# Pose 2:
46.1684, -0.7253, 0.0000, 101.97, 2.0
# Pose 3:
38.0647, 29.9870, 0.0000, -170.48, 2.0
# Pose 4:
30.6934, 28.3455, 0.0000, -76.13, 2.0
# Pose 5:
30.9025, 27.6449, 0.0000, 17.53, 2.0
# Pose 6:
42.5043, 7.9299, 0.0000, -163.64, 2.0
# Pose 7:
32.1826, 6.2650, 0.0000, -87.02, 2.0
# Pose 8:
28.9541, 0.1975, 0.0000, 173.84, 2.0
# Pose 9:
0.0899, 2.0640, 0.0000, -37.45, 2.0
